Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
MKT 3400,Integrated Marketing Communications,Marketing,3.0,BA 3800 or MKT 3000,,Spring
MKT 3600,Marketing Research,Marketing,3.0,(MA 2710 or MA 2720 or MA 3710 or BUS 2100) and MKT 3000,,"Fall, Spring"
MKT 4100,Sales and Sales Management,Marketing,3.0,MKT 3000,,"Fall, Spring, Summer"
MKT 4200,Business to Business Marketing,Marketing,3.0,MKT 3000,,"Fall, Spring"
MKT 4300,Global Marketing,Marketing,3.0,MKT 3000,,"Fall, Spring"
MKT 4500,Introduction to Digital Marketing,Marketing,3.0,MKT 3000,,Fall
MKT 4700,Marketing Strategy,Marketing,3.0,MKT 3200 and MKT 3600 and MKT 4300(C),,"Fall, Spring"
MKT 4990,Special Topics in Marketing,Marketing,variable to   3.0;  Repeatable to a Max of 6,MKT 3000,,On Demand
MY 2100,Introduction to Materials Science and Engineering,Materials Science &amp; Engrg,3.0,CH 1112 or CH 1122 or (CH 1150 and CH 1151) or (CH 1160 and CH 1161),,"Fall, Spring, Summer"
MY 2110,Introduction to Materials Science and Engineering II,Materials Science &amp; Engrg,3.0,MY 2100 and (ENG 1100 or ENG 1101),,"Fall, Spring"
MY 3100,Materials Processing I,Materials Science &amp; Engrg,4.0,MY 2100 and MA 2160,,Fall
MY 3110,Materials Processing II,Materials Science &amp; Engrg,4.0,MY 2110 and MY 3100 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring
MY 3200,Materials Characterization I,Materials Science &amp; Engrg,4.0,MY 2100 and MY 2110,,Spring
MY 3210,Materials Characterization II,Materials Science &amp; Engrg,4.0,MY 2100,,Fall
MY 3300,Design of Microstructure,Materials Science &amp; Engrg,3.0,MY 2110 and MY 3100 and MY 3200(C),,Spring
MY 3500,Introduction to Semiconductor Materials &amp; Devices,Materials Science &amp; Engrg,3.0,PH 2400,,Fall
MY 4130,Principles of Metal Casting,Materials Science &amp; Engrg,3.0,MY 2100,,Fall
MY 4140,Science of Ceramic Materials,Materials Science &amp; Engrg,3.0,MY 2100,,Spring
MY 4155,Composite Materials,Materials Science &amp; Engrg,3.0,MY 2100,,Spring
MY 4164,Fundamentals of Corrosion,Materials Science &amp; Engrg,1.0,CH 1150 and CH 1151,,Fall
MY 4165,Corrosion and Environmental Effects,Materials Science &amp; Engrg,3.0,MY 2100,,Fall
MY 4180,Advanced Physical Metallurgy,Materials Science &amp; Engrg,3.0,MY 2100 and MY 3300,,On Demand
MY 4190,Environmental Engineering for Materials Processing Industries,Materials Science &amp; Engrg,3.0,,,Fall
MY 4200,Introduction to Scanning Electron Microscopy,Materials Science &amp; Engrg,2.0,,,"Fall, Spring"
MY 4201,Introduction to Scanning Electron Microscopy Laboratory,Materials Science &amp; Engrg,1.0,MY 4200(C),,"Fall, Spring"
MY 4220,Materials Forensics,Materials Science &amp; Engrg,3.0,,"MY 2100, MY 3200",Fall
MY 4240,Introduction to MEMS,Materials Science &amp; Engrg,4.0,,,Fall
MY 4292,Light and Photonic Materials,Materials Science &amp; Engrg,3.0,PH 2200 or EE 2190 or EE 3140,,Spring
MY 4300,Mechanical Behavior of Materials,Materials Science &amp; Engrg,3.0,MY 2110 and MY 2100 and (MEEM 2150 or ENG 2120),,"Fall, Summer"
MY 4310,Practical Scanning Probe Microscopy for Undergraduates,Materials Science &amp; Engrg,1.0,,,On Demand - Offered alternate years beginning with the 2011-2012 academic year 
MY 4600,Introduction to Polymer Engineering,Materials Science &amp; Engrg,3.0,MY 2100,,Fall
MY 4610,"Computational Materials Science: Theory, Modeling, Simulation, and Practice",Materials Science &amp; Engrg,3.0,,,Spring
MY 4630,Contact Mechanics and Nanoindentation,Materials Science &amp; Engrg,3.0,MY 2100 and PH 2200 and MA 3521 and MEEM 2150,,Spring
MY 4740,Hydrometallurgy/Pyrometallurgy,Materials Science &amp; Engrg,4.0,CH 1122 or (CH 1160 and CH 1161),,Spring
MY 4777,Distributed Additive Manufacturing Using Open-Source 3-D Printing,Materials Science &amp; Engrg,3.0,,,Fall
MY 4800,Material and Process Selection in Design,Materials Science &amp; Engrg,3.0,MY 2100,,Spring
MY 4920,Materials Science &amp; Engineering Senior Design Project I,Materials Science &amp; Engrg,2.0,MY 3110 and MY 3200 and MY 3210 and MY 3300 and MY 4940(C),,"Fall, Spring"
MY 4930,Materials Science &amp; Engineering Senior Design Project II,Materials Science &amp; Engrg,2.0,MY 4920,,"Fall, Spring"
MY 4940,Material Design,Materials Science &amp; Engrg,2.0,MY 3100 and MY 3110(C) and MY 3200(C) and MY 3210(C) and MY 3300(C) and ENG 1102,,Spring
MY 4970 - Special Topics,Special Topics - Materials,Materials Science &amp; Engrg,variable to   4.0;  May be repeated,,,"Fall, Spring, Summer"
MY 4990,Undergraduate Research,Materials Science &amp; Engrg,variable to   6.0;  May be repeated,,,"Fall, Spring, Summer"
OSM 3000,Operations and Supply Chain Management,Operations &amp; Supply Chain Mgmt,3.0,(MA 1135 or MA 1160 or MA 1161) and (MA 2710 or MA 2720 or MA 3710 or MA 3720 or EET 2010 or BUS 2100),,"Fall, Spring, Summer"
OSM 3150,Introduction to Supply Chain Management,Operations &amp; Supply Chain Mgmt,3.0,OSM 3000,,"Fall, Spring"
OSM 3200,Project Management,Operations &amp; Supply Chain Mgmt,3.0,MA 2710 or MA 2720 or MA 3710 or EET 2010 or BUS 2100,,"Fall, Spring, Summer"
OSM 3600,Procurement and Supply Management,Operations &amp; Supply Chain Mgmt,3.0,(MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161),,"Fall, Spring"
OSM 4100,Global Operations Strategy,Operations &amp; Supply Chain Mgmt,3.0,OSM 3000,,On Demand - Offered alternate years beginning with the 2002-2003 academic year 
OSM 4150,Advanced Supply Chain Management,Operations &amp; Supply Chain Mgmt,3.0,BUS 2300 and OSM 3150,,Spring
OSM 4200,Advanced Project Management,Operations &amp; Supply Chain Mgmt,3.0,OSM 3200 or ENG 4300,,Spring
OSM 4650,Six Sigma Fundamentals,Operations &amp; Supply Chain Mgmt,3.0,MA 2710 or MA 2720 or MA 3710 or MA 3720 or BUS 2100,,"Fall, Spring"
OSM 4700,Logistics and Transportation Management,Operations &amp; Supply Chain Mgmt,3.0,(MA 2710 or MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161),,"Fall, Spring"
PE 0101,Flag Football,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0103,Bait and Fly Casting,Physical Education,0.5; Graded Pass/Fail Only,,,On Demand
PE 0104,Ultimate Frisbee,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0105,Beginning Bowling,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0106,Beginning Golf,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0107,Floor Hockey,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0108,Broomball,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0109,Aikido,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0113,Disc Golf,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0114,Frisbockey,Physical Education,0.5; Graded Pass/Fail Only,,,On Demand
PE 0115,Beginning Swimming,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
PE 0116,Beginning Basketball,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0117,Beginning Hockey,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0118,Beginning Weight Training,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
PE 0119,Beginning Fitness Training,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0120,Beginning Alpine Skiing (Downhill),Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0121,Beginning Snowboarding,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0122,Softball,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0123,Telemark Skiing,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0125,Sand Volleyball,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0126,Beginning Volleyball,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0130,Water Aerobics,Physical Education,0.5; Graded Pass/Fail Only,,,Fall
PE 0132,Beginning Soccer,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0135,Beginning Cross Country Skiing,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0137,Table Tennis,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0138,Beginning Racquetball/Squash,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0139,Beginning Badminton,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0140,Beginning Tennis,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0145,Beginning Rifle,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0146,Beginning Billiards,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0148,Beginning Skating,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0150,Outdoor Lifetime Activities,Physical Education,0.5; Graded Pass/Fail Only,,,Summer
PE 0151,Indoor Lifetime Activities,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0152,Social Dance I,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0153,Aerobics I,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0155,Beginning Road Biking,Physical Education,0.5; Graded Pass/Fail Only,,,Fall
PE 0156,Beginning Mountain Biking,Physical Education,0.5; Graded Pass/Fail Only,,,Fall
PE 0166,Moving for Fitness,Physical Education,0.5; Graded Pass/Fail Only,,,Summer
PE 0167,Beginning Yoga,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0168,Beginning Pilates,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0169,Spinning,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0170,TaeKwonDo and Hapkido I,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0175,Hiking,Physical Education,0.5; Graded Pass/Fail Only,,,Summer
PE 0176,Outdoor Adventure,Physical Education,variable to   3.0;  Repeatable to a Max of 3; Graded Pass/Fail Only,,,On Demand
PE 0200,Fitness Foundations,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0205,Intermediate Bowling,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0206,Intermediate Golf,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Summer"
PE 0209,Intermediate Aikido,Physical Education,0.5; Graded Pass/Fail Only,,,On Demand
PE 0210,Special Topics in Physical Education,Physical Education,0.5;  Repeatable to a Max of 1; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
PE 0215,Intermediate Swimming,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0216,Intermediate Basketball,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0217,Intermediate Hockey,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0218,Intermediate Weight Training,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0219,Intermediate Fitness Training,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0220,Intermediate Alpine Skiing (Downhill),Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0221,Intermediate Snowboarding,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0226,Intermediate Volleyball,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0230,Water Polo,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0232,Intermediate Soccer,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
PE 0235,Intermediate Cross Country Skiing,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0237,Intermediate Table Tennis,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0238,Intermediate Racquetball/Squash,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0239,Intermediate Badminton,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0240,Intermediate Tennis,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0246,Intermediate Billiards,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0248,Intermediate Skating,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0252,Social Dance II,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0253,Aerobics II,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0256,Intermediate Mountain Biking,Physical Education,0.5; Graded Pass/Fail Only,,,Fall
PE 0266,Running for Fitness,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0267,Intermediate Yoga,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0268,Intermediate Pilates,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0270,Cardio TaeKwonDo,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0315,Fitness Swimming,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0320,Advanced Skiing,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0321,Advanced Snowboarding,Physical Education,0.5; Graded Pass/Fail Only,,,Spring
PE 0330,Club Sports,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0340,Advanced Tennis,Physical Education,0.5; Graded Pass/Fail Only,PE 0240,,Spring
PE 0352,Social Dance III,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0353,Aerobics III,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0355,Advanced Road Biking,Physical Education,0.5; Graded Pass/Fail Only,,,Fall
PE 0367,Mindful Yoga,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0420,Ski Instructor Training,Physical Education,0.5; Graded Pass/Fail Only,,,On Demand
PE 0421,Snowboard Instructor Training,Physical Education,0.5; Graded Pass/Fail Only,,,On Demand
PE 0425,Intramurals,Physical Education,0.5;  Repeatable to a Max of 1; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0430,Club Sports Leadership,Physical Education,0.5; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0435,Rape Aggression Defense-Basic Physical Defense,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 0450,Physical Education Fusion-Full,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
PE 1470,Lifeguard Swimming,Physical Education,1.0; Graded Pass/Fail Only,,EH 2470,Spring
PE 1580,Water Safety Skills,Physical Education,1.0; Graded Pass/Fail Only,,EH 2580,Spring
PE 1690,Medical 1st Responder Training,Physical Education,1.0; Graded Pass/Fail Only,,EH 3690,On Demand
PE 2010,Varsity Football,Physical Education,1.0; Graded Pass/Fail Only,,,Fall
PE 2020,Varsity Basketball,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 2028,Ski Patrol (Hill),Physical Education,1.0; Graded Pass/Fail Only,,,Spring
PE 2030,Varsity Hockey,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 2040,Varsity Nordic Skiing,Physical Education,1.0; Graded Pass/Fail Only,,,Spring
PE 2050,Varsity Soccer,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 2080,Varsity Track,Physical Education,1.0; Graded Pass/Fail Only,,,Spring
PE 2090,Varsity Tennis,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PE 2130,Varsity Volleyball,Physical Education,1.0; Graded Pass/Fail Only,,,Fall
PE 2140,Varsity Cross Country,Physical Education,1.0; Graded Pass/Fail Only,,,Fall
PE 2150,Cross Training,Physical Education,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
PH 1090,The Physics Behind Music,Physics,3.0,MA 1031(C) or MA 1032(C),,"Fall, Spring, Summer"
PH 1091,The Physics Behind Music Lab,Physics,1.0,PH 1090(C),,"Fall, Summer"
PH 1100,Physics by Inquiry I,Physics,1.0,MA 1160(C) or MA 1161(C),,"Fall, Spring, Summer"
PH 1110,College Physics I,Physics,3.0,MA 1031 or MA 1032 or MA 1135(C) or MA 1160(C) or MA 1161(C),PH 1111,"Fall, Summer"
PH 1111,College Physics I Laboratory,Physics,1.0,,PH 1110,"Fall, Summer"
PH 1140,Applied College Physics I,Physics,3.0,MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) and (PH 1100 or PH 1111 or PH 1141(C) or PH 1161),PH 1141,Spring
PH 1141,Applied College Physics I Laboratory,Physics,1.0,,PH 1140,Spring
PH 1160 - Honors Physics I,Honors Physics I - Mechanics,Physics,4.0,MA 1160(C) or MA 1161(C),PH 1161,Fall
PH 1161,Introduction to Experimental Physics I,Physics,1.0,,PH 1160,Fall
PH 1200,Physics by Inquiry II,Physics,1.0,PH 1100 or PH 1111 or PH 1141 or PH 1161,,"Fall, Spring, Summer"
PH 1210,College Physics II,Physics,3.0,PH 1200(C) and (PH 1110 or PH 1100),,"Fall, Spring, Summer"
PH 1240,Applied College Physics II,Physics,3.0,PH 1140 or PH 1110,PH 1200,Fall
PH 1360 - Honors Physics II,Honors Physics II - Rotation and Vibration,Physics,2.0,(PH 1160 or PH 2100) and MA 2160(C),PH 1361,Spring
PH 1361,Introductory Experimental Physics II,Physics,1.0,,PH 1360,Spring
PH 1500,Extraordinary Concepts in Physics,Physics,2.0,,,On Demand
PH 1600,Introductory Astronomy,Physics,2.0,,,"Fall, Spring, Summer"
PH 1610,Introductory Astronomy Lab,Physics,1.0,,PH 1600,"Fall, Summer"
PH 2020,Introduction to Scientific Programming and Error Analysis,Physics,2.0,PH 1160 or PH 2100,,Fall
PH 2100,University Physics I-Mechanics,Physics,3.0,PH 1100(C) and (MA 1160 or MA 1161 or MA 1135 or MA 2160(C)),,"Fall, Spring, Summer"
PH 2200,University Physics II-Electricity and Magnetism,Physics,3.0,(PH 1200(C) or PH 2261(C)) and (PH 2100 or PH 1160) and MA 2160,,"Fall, Spring, Summer"
PH 2230,Electronics for Scientists,Physics,4.0,PH 2200 or PH 2260,,Spring
PH 2260 - Honors Physics III,Honors Physics III - Electricity and Magnetism,Physics,4.0,(PH 1160 or PH 2100) and (PH 1200(C) or PH 2261(C)) and MA 2160,,Fall
PH 2261,Introduction to Experimental Physics III,Physics,1.0,PH 1100 or PH 1161,PH 2260,Fall
PH 2300,University Physics III-Fluids and Thermodynamics,Physics,2.0,PH 1160 or PH 2100,,Spring
PH 2400,University Physics IV-Waves and Modern Physics,Physics,3.0,PH 2200 or PH 2260,,"Fall, Spring, Summer"
PH 3110,Theoretical Mechanics I,Physics,3.0,(PH 2200 or PH 2260) and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall
PH 3111,Theoretical Mechanics II,Physics,3.0,PH 3110,,Spring
PH 3210,Optics,Physics,3.0,PH 2400 and (MA 3520 or MA 3521 or MA 3530(C) or MA 3560),,Fall
PH 3300,Thermodynamics and Statistical Mechanics,Physics,3.0,PH 2300 or PH 1360,,Spring
PH 3320,Methods of Theoretical Physics,Physics,3.0,MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and (PH 2200 or PH 2260),,Fall
PH 3410,Quantum Physics I,Physics,3.0,PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring
PH 3411,Quantum Physics II,Physics,3.0,PH 3410,,Fall
PH 3480,Advanced Physics Laboratory,Physics,2.0,PH 2230 and PH 3210,,Spring
PH 4010,Senior Physics Colloquium I,Physics,1.0,,PH 4080,Fall
PH 4011,Senior Physics Colloquium II,Physics,1.0,PH 4010,PH 4081,Spring
PH 4050,Qualitative Methods in Physics,Physics,1.0; Graded Pass/Fail Only,,,Fall
PH 4080,Senior Research I,Physics,3.0,PH 3480,PH 4010,Fall
PH 4081,Senior Research II,Physics,3.0,PH 4080,PH 4011,Spring
PH 4090,Senior Thesis,Physics,1.0,,,Spring
PH 4210,Electricity and Magnetism I,Physics,3.0,(PH 2200 or PH 2260) and PH 3110 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall
PH 4211,Electricity and Magnetism II,Physics,3.0,PH 4210,,Spring
PH 4292,Light and Photonic Materials,Physics,3.0,PH 2200(C),,Spring
PH 4390,Computational Methods in Physics,Physics,3.0,PH 2020 and PH 3410,,Fall
PH 4395,Computer Simulation in Physics,Physics,3.0,PH 3300 and PH 4390 and (PH 2400 or PH 3410),,Spring
PH 4510,Introduction to Solid State Physics,Physics,2.0,(PH 2300 or PH 1360) and PH 2400 and (CH 1150 and CH 1151) and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall
PH 4610,Stellar Astrophysics,Physics,3.0,PH 1600 and PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring - Offered alternate years beginning with the 2008-2009 academic year 
PH 4620,Galactic Astrophysics,Physics,3.0,PH 1600 and PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring - Offered alternate years beginning with the 2009-2010 academic year 
PH 4630,Particle Astrophysics,Physics,3.0,PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Spring - Offered alternate years beginning with the 2007-2008 academic year 
PH 4640,Fundamentals of Atmospheric Science,Physics,3.0,(PH 2200 or PH 2260) and (PH 1360 or PH 2300) and MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall - Offered alternate years beginning with the 2013-2014 academic year 
PH 4710,Methods of Teaching Physics,Physics,2.0,PH 1210 or PH 2200 or PH 2260,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
PH 4999,Special Topics in Physics,Physics,variable to   9.0;  May be repeated,,,"Fall, Spring, Summer"
PSY 2000,Introduction to Psychology,Psychology,3.0,,,"Fall, Spring, Summer"
PSY 2100,Counseling Psychology,Psychology,3.0,PSY 2000,,On Demand
PSY 2200,Behavior Modification,Psychology,3.0,PSY 2000,,On Demand
PSY 2300,Developmental Psychology,Psychology,3.0,PSY 2000,,"Spring, Summer"
PSY 2400,Health Psychology,Psychology,3.0,PSY 2000,,On Demand
PSY 2501,Intro to the Psychology Major,Psychology,1.0,PSY 2000(C),,Spring
PSY 2600,Psychology of Death and Dying,Psychology,3.0,PSY 2000,,Fall - Offered alternate years beginning with the 2013-2014 academic year 
PSY 2720,Statistics for the Behavioral Sciences,Psychology,4.0,MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) or MA 1135(C),,Spring
PSY 2800,Critical Thinking for Social and Behavioral Sciences,Psychology,3.0,PSY 2000(C),,Spring
PSY 3000,Research Methods &amp; Stats,Psychology,3.0,PSY 2000 and (MA 2720 or PSY 2720),,"Fall, Summer"
PSY 3001,Experimental Methods and Statistics II,Psychology,3.0,PSY 2000 and PSY 3000,,"Spring, Summer"
PSY 3010,Theories of Personality,Psychology,3.0,PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer"
PSY 3020,Moral Psychology,Psychology,3.0,PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2014-2015 academic year 
PSY 3030,Abnormal Psychology,Psychology,3.0,PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer"
PSY 3040,History and Systems of Psychology,Psychology,3.0,PSY 2000,,Spring
PSY 3060,Physiological Psychology,Psychology,3.0,PSY 2000 and (BL 1020 or BL 1040 or BL 2010),,Spring
PSY 3070,Cross-Cultural Psychology,Psychology,3.0,PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer - Offered alternate years beginning with the 2012-2013 academic year "
PSY 3090,Directed Research: Undergraduate Research Assistant in Psychology,Psychology,variable to   3.0;  May be repeated,PSY 2000,,"Fall, Spring, Summer"
PSY 3095,Teaching Assistant,Psychology,variable to   3.0;  May be repeated,PSY 2000,,"Fall, Spring, Summer"
PSY 3100,Application of Treatment Model,Psychology,3.0,PSY 2000,,On Demand
PSY 3200,Motivation and Emotion,Psychology,3.0,PSY 2000,,On Demand
PSY 3250,Persuasion and Attitude Change,Psychology,3.0,PSY 2000,,On Demand
PSY 3300,Psychology of Deviance,Psychology,3.0,PSY 2000,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
PSY 3700,Industrial Organizational Psychology,Psychology,3.0,PSY 2000,,Fall - Offered alternate years beginning with the 2012-2013 academic year 
PSY 3720,Social Psychology,Psychology,3.0,PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer"
PSY 3750,Judgment and Decision Making,Psychology,3.0,PSY 2720 or MA 2720,,Fall
PSY 3850,Human Factors Psychology,Psychology,3.0,PSY 2000,,Spring - Offered alternate years beginning with the 2015-2016 academic year 
PSY 3860,Human Performance,Psychology,3.0,PSY 2000,,Spring
PSY 3870,Human-Centered Design,Psychology,3.0,,,On Demand
PSY 4010,Cognitive Psychology,Psychology,3.0,PSY 2000,,"Fall, Summer"
PSY 4060,Cognitive Neuroscience,Psychology,3.0,PSY 3060,,Spring
PSY 4080,Topics in Psychology,Psychology,variable to   4.0;  May be repeated,PSY 2000,,On Demand
PSY 4090,Independent Study in Psychology,Psychology,variable to   6.0;  Repeatable to a Max of 9,PSY 2000,,On Demand
PSY 4095,Field Experience in Psychology,Psychology,variable to   3.0;  Repeatable to a Max of 6; Graded Pass/Fail Only,PSY 2000,,"Fall, Summer"
PSY 4110,Learning and Memory,Psychology,3.0,PSY 2000,,Fall
PSY 4160,Sensation and Perception,Psychology,3.0,BL 1040 or BL 1020 and PSY 3000,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
PSY 4220,Psychology and Law,Psychology,3.0,PSY 2000,,On Demand
PSY 4400,Tests and Measurements,Psychology,3.0,PSY 2720 or MA 2720,,On Demand
PSY 4500,Senior Seminar: Psychology Capstone,Psychology,1.0; Graded Pass/Fail Only,PSY 3000(C),,Fall
SA 1000,Exploring Majors at Michigan Tech,Sciences and Arts,1.0,,,"Fall, Spring"
SAT 1200,Introduction to Programming,Systems Admin. Technology,3.0,,,Fall
SAT 1610,Computer and Operating Systems Architecture,Systems Admin. Technology,3.0,SAT 1200 or CS 1111,,Spring
SAT 1700,Cyber Ethics,Systems Admin. Technology,3.0,,,Fall
SAT 2343,Network Administration I,Systems Admin. Technology,4.0,SAT 1610,,"Fall, Summer"
SAT 2511,Microsoft System Administration,Systems Admin. Technology,4.0,SAT 2343,,"Spring, Summer"
SAT 2711,Linux  System Administration,Systems Admin. Technology,4.0,SAT 1200 or CS 1111,,"Fall, Summer"
SAT 3002,Application Programming Introduction,Systems Admin. Technology,3.0,,,Fall
SAT 3200,Storage Area Networking,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711,,"Fall, Spring"
SAT 3210,Database Management,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711,,"Fall, Summer"
SAT 3310,Scripting for Administration and Automation,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711,,Spring
SAT 3343,Network Administration II,Systems Admin. Technology,4.0,SAT 2343 or CS 3411,,Spring
SAT 3611,Infrastructure Service Administration,Systems Admin. Technology,3.0,SAT 2511 and SAT 2711,,"Fall, Summer"
